年份,地区,地区生产总值(万元),人均地区生产总值(元),户籍人口(万人),city_name,year_now,city_new_comp_cnt_now,year_last,city_new_comp_cnt_last,yoy_gr,city_idx,year
2019.0,七台河,2310000.0,29912.0,77.0,七台河,2020,7583,2019,9331,-18.73325474225699,65,2019.0
2020.0,七台河,2060000.0,26979.0,76.0,七台河,2021,9090,2020,7583,19.873401028616637,65,2020.0
2021.0,七台河,2310000.0,34055.0,75.0,七台河,2022,9294,2021,9090,2.2442244224422536,65,2021.0
2019.0,三亚,6780000.0,87105.0,63.0,三亚,2020,37077,2019,29998,23.598239882658834,223,2019.0
2020.0,三亚,6950000.0,68656.0,67.0,三亚,2021,48990,2020,37077,32.13043126466542,223,2020.0
2021.0,三亚,8350000.0,79809.0,71.0,三亚,2022,40205,2021,48990,-17.932231067564807,223,2021.0
2019.0,三明,26020000.0,100641.0,289.0,三明,2020,52208,2019,33040,58.01452784503631,112,2019.0
2020.0,三明,27020000.0,108304.0,288.0,三明,2021,33274,2020,52208,-36.26647257125345,112,2020.0
2021.0,三明,29530000.0,118852.0,287.0,三明,2022,36539,2021,33274,9.81246618981788,112,2021.0
2019.0,三沙,17920000.0,50775.0,0.0,三沙,2020,64,2019,49,30.61224489795917,224,2019.0
2020.0,三沙,18530000.0,54570.0,0.0,三沙,2021,55,2020,64,-14.0625,224,2020.0
2021.0,三沙,20710000.0,61102.0,0.0,三沙,2022,30,2021,55,-45.45454545454546,224,2021.0
2019.0,三门峡,14440000.0,63473.0,227.0,三门峡,2020,21057,2019,21385,-1.5337853635725929,156,2019.0
2020.0,三门峡,14510000.0,71541.0,226.5,三门峡,2021,24229,2020,21057,15.063874246093944,156,2020.0
2021.0,三门峡,15830000.0,77701.0,226.0,三门峡,2022,45861,2021,24229,89.28143959717694,156,2021.0
2019.0,上海,381560000.0,157279.0,1469.0,上海,2020,401554,2019,358606,11.976375186137432,1,2019.0
2020.0,上海,387010000.0,155800.0,1481.0,上海,2021,436921,2020,401554,8.807532735323264,1,2020.0
2021.0,上海,432150000.0,173600.0,1493.0,上海,2022,351770,2021,436921,-19.488877852060217,1,2021.0
2019.0,上饶,25130000.0,36839.0,793.0,上饶,2020,68305,2019,79847,-14.455145465703156,125,2019.0
2020.0,上饶,26240000.0,40430.0,791.0,上饶,2021,86786,2020,68305,27.056584437449672,125,2020.0
2021.0,上饶,30430000.0,47081.0,789.0,上饶,2022,71621,2021,86786,-17.47401654644758,125,2021.0
2019.0,东莞,94820000.0,112507.0,251.0,东莞,2020,103396,2019,106368,-2.794073405535502,198,2019.0
2020.0,东莞,96500000.0,92176.0,265.0,东莞,2021,122597,2020,103396,18.570350883980048,198,2020.0
2021.0,东莞,108550000.0,103284.0,279.0,东莞,2022,161489,2021,122597,31.72345163421617,198,2021.0
2019.0,东营,29160000.0,134022.0,198.0,东营,2020,45160,2019,46020,-1.8687527162103423,133,2019.0
2020.0,东营,29810000.0,135910.0,198.0,东营,2021,39461,2020,45160,-12.619574844995574,133,2020.0
2021.0,东营,34420000.0,156852.0,198.0,东营,2022,33645,2021,39461,-14.738602670991607,133,2021.0
2019.0,中卫,4380000.0,37358.0,122.0,中卫,2020,11575,2019,10200,13.480392156862742,291,2019.0
2020.0,中卫,4400000.0,41122.0,122.0,中卫,2021,12872,2020,11575,11.205183585313172,291,2020.0
2021.0,中卫,5050000.0,47083.0,122.0,中卫,2022,9907,2021,12872,-23.034493474207583,291,2021.0
2019.0,中山,31010000.0,92709.0,183.0,中山,2020,36923,2019,37923,-2.636922184426338,200,2019.0
2020.0,中山,31520000.0,71478.0,191.0,中山,2021,41726,2020,36923,13.008152100316872,200,2020.0
2021.0,中山,35660000.0,80157.0,199.0,中山,2022,65763,2021,41726,57.6067679624215,200,2021.0
2019.0,临汾,14530000.0,32250.0,431.0,临汾,2020,41817,2019,40208,4.001691205730196,24,2019.0
2020.0,临汾,15050000.0,37762.0,430.0,临汾,2021,41579,2020,41817,-0.5691465193581546,24,2020.0
2021.0,临汾,19090000.0,48438.0,429.0,临汾,2022,126495,2021,41579,204.22809591380263,24,2021.0
2019.0,临沂,46000000.0,43213.0,1190.0,临沂,2020,161239,2019,144129,11.871309729478453,139,2019.0
2020.0,临沂,48050000.0,43582.0,1195.5,临沂,2021,178417,2020,161239,10.653750023257391,139,2020.0
2021.0,临沂,54660000.0,49585.0,1201.0,临沂,2022,149240,2021,178417,-16.353262301238114,139,2021.0
