year,city,GDP,人均地区生产总值(元),population,job_count_last,job_count,gr,job_gr,city_new_comp_cnt,year_last,city_new_comp_cnt_last,yoy_gr,city_name,city_idx
2019,七台河,2310000.0,29912.0,77.0,8.192,8.371,2.185058593750003,-7.685372999774627,7583,2019,9331,4.748540637629097,七台河,65
2020,七台河,2060000.0,26979.0,76.0,8.371,8.321,-0.5973002030820775,2.185058593750003,9090,2020,7583,-18.733254742256992,七台河,65
2021,七台河,2310000.0,34055.0,75.0,8.321,7.332,-11.885590674197811,-0.5973002030820775,9294,2021,9090,19.87340102861664,七台河,65
2019,三亚,6780000.0,87105.0,63.0,14.02,15.109,7.767475035663342,-1.5518573133909142,37077,2019,29998,77.02112592942288,三亚,223
2020,三亚,6950000.0,68656.0,67.0,15.109,15.585,3.1504401350188687,7.767475035663342,48990,2020,37077,23.598239882658845,三亚,223
2021,三亚,8350000.0,79809.0,71.0,15.585,14.513,-6.878408726339434,3.1504401350188687,40205,2021,48990,32.130431264665425,三亚,223
2019,三明,26020000.0,100641.0,289.0,25.21,26.801,6.310987703292334,0.6387225548902201,52208,2019,33040,4.223841519194979,三明,112
2020,三明,27020000.0,108304.0,288.0,26.801,25.764,-3.869258609753364,6.310987703292334,33274,2020,52208,58.014527845036326,三明,112
2021,三明,29530000.0,118852.0,287.0,25.764,22.85,-11.310355534854828,-3.869258609753364,36539,2021,33274,-36.26647257125345,三明,112
2019,三沙,17920000.0,50775.0,0.0,0.0,0.0,,,64,2019,49,-68.78980891719745,三沙,224
2020,三沙,18530000.0,54570.0,0.0,0.0,0.0,,,55,2020,64,30.612244897959183,三沙,224
2021,三沙,20710000.0,61102.0,0.0,0.0,0.0,,,30,2021,55,-14.0625,三沙,224
2019,三门峡,14440000.0,63473.0,227.0,20.95,19.66,-6.1575178997613325,-1.8735362997658176,21057,2019,21385,5.479925027128342,三门峡,156
2020,三门峡,14510000.0,71541.0,226.5,19.66,19.926,1.353001017293989,-6.1575178997613325,24229,2020,21057,-1.5337853635725975,三门峡,156
2021,三门峡,15830000.0,77701.0,226.0,19.926,19.137,-3.9596507076181773,1.353001017293989,45861,2021,24229,15.063874246093937,三门峡,156
2019,上海,381560000.0,157279.0,1469.0,716.058,645.562,-9.845012554848905,11.767754180805587,401554,2019,358606,7.3760674547566865,上海,1
2020,上海,387010000.0,155800.0,1481.0,645.562,683.075,5.8109058463788195,-9.845012554848905,436921,2020,401554,11.976375186137432,上海,1
2021,上海,432150000.0,173600.0,1493.0,683.075,672.27,-1.5818175163781523,5.8109058463788195,351770,2021,436921,8.807532735323269,上海,1
2019,上饶,25130000.0,36839.0,793.0,40.907,42.218,3.2048304691128835,3.3788223401566744,68305,2019,79847,17.32888588473859,上饶,125
2020,上饶,26240000.0,40430.0,791.0,42.218,42.425,0.4903121891136331,3.2048304691128835,86786,2020,68305,-14.455145465703156,上饶,125
2021,上饶,30430000.0,47081.0,789.0,42.425,40.954,-3.4672952268709407,0.4903121891136331,71621,2021,86786,27.056584437449676,上饶,125
2019,东莞,94820000.0,112507.0,251.0,287.328,286.306,-0.35569105691056613,18.527318854031304,103396,2019,106368,-14.5487556033998,东莞,198
2020,东莞,96500000.0,92176.0,265.0,286.306,287.293,0.3447360516370678,-0.35569105691056613,122597,2020,103396,-2.7940734055354994,东莞,198
